No.,Name,Pos,Ht,Wt,Birth Date,,Exp,College,City,Team,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
42,Al Horford,C,6-10,245,"June 3, 1986",do,9,University of Florida,Boston,Celtics,Al Horford,30,63,63,32.6,5.6,11.9,0.474,1.3,3.6,0.358,4.3,8.2,0.525,0.529,1.6,2,0.798,1.4,5.4,6.9,5,0.8,1.3,1.7,2,14.1
7,Jaylen Brown,SF,6-7,225,"October 24, 1996",us,R,University of California,Boston,Celtics,Jaylen Brown,20,73,20,17.1,2.5,5.3,0.46,0.6,1.7,0.344,1.9,3.7,0.513,0.514,1.1,1.7,0.686,0.6,2.3,2.9,0.8,0.4,0.2,0.8,1.9,6.6
9,Demetrius Jackson,PG,6-1,201,"September 7, 1994",us,R,University of Notre Dame,Boston,Celtics,Demetrius Jackson,22,5,0,3.4,0.6,0.8,0.75,0.2,0.2,1,0.4,0.6,0.667,0.875,0.6,1.2,0.5,0.4,0.4,0.8,0.6,0,0,0,0,2
30,Gerald Green,SG,6-7,205,"January 26, 1986",us,9,,Boston,Celtics,Gerald Green,31,44,0,11.4,2,4.9,0.411,0.8,2.3,0.366,1.2,2.6,0.451,0.498,0.7,0.8,0.829,0.4,1.4,1.8,0.7,0.2,0.1,0.5,1,5.5
44,Tyler Zeller,C,7-0,253,"January 17, 1990",us,4,University of North Carolina,Boston,Celtics,Tyler Zeller,27,48,5,10.4,1.5,3.1,0.49,0,0,0,1.5,3.1,0.493,0.49,0.4,0.7,0.543,0.9,1.6,2.5,0.8,0.1,0.5,0.4,1.3,3.5
92,Lucas Nogueira,C,7-0,241,"July 26, 1992",br,2,,Toronto,Raptors,Lucas Nogueira,24,55,6,19.5,1.9,2.8,0.673,0.1,0.2,0.3,1.8,2.6,0.699,0.683,0.8,1.2,0.657,1.5,2.9,4.3,0.7,0.9,1.6,0.8,2.5,4.6
9,Serge Ibaka,PF,6-10,235,"September 18, 1989",cg,7,,Toronto,Raptors,Serge Ibaka,27,19,19,31.2,6,12.5,0.479,1.9,4.3,0.439,4.1,8.2,0.5,0.555,1.3,1.5,0.893,1.4,5.3,6.6,0.8,0.4,1.6,1.8,3.5,15.2
2,P.J. Tucker,SF,6-6,245,"May 5, 1985",us,5,University of Texas at Austin,Toronto,Raptors,P.J. Tucker,31,19,4,26,2.3,5.5,0.41,0.9,2.5,0.383,1.3,3.1,0.431,0.495,0.5,0.7,0.643,1.1,4.5,5.5,1.2,1.4,0.3,0.6,2.2,5.9
54,Patrick Patterson,PF,6-9,230,"March 14, 1989",us,6,University of Kentucky,Toronto,Raptors,Patrick Patterson,27,60,7,25,2.4,6,0.395,1.5,3.9,0.37,0.9,2,0.443,0.517,0.7,1,0.717,1,3.7,4.7,1.2,0.6,0.4,0.6,1.9,6.9
7,Kyle Lowry,PG,6-0,205,"March 25, 1986",us,10,Villanova University,Toronto,Raptors,Kyle Lowry,30,56,56,37.7,7.2,15.5,0.463,3.3,7.9,0.417,3.9,7.6,0.512,0.57,5.1,6.1,0.826,0.8,3.9,4.8,6.9,1.4,0.3,2.8,2.9,22.8
17,Jonas Valanciunas,C,7-0,265,"May 6, 1992",lt,4,,Toronto,Raptors,Jonas Valanciunas,24,75,75,25.9,4.9,8.8,0.555,0,0,,4.9,8.8,0.555,0.555,2.3,2.8,0.815,2.9,6.7,9.6,0.7,0.5,0.8,1.4,2.7,12
20,Bruno Caboclo,SF,6-9,218,"September 21, 1995",br,2,,Toronto,Raptors,Bruno Caboclo,21,8,0,2.9,0.1,0.6,0.2,0.1,0.4,0.333,0,0.3,0,0.3,0,0,,0.4,0.4,0.8,0.4,0.3,0,0.3,0.4,0.4
55,Delon Wright,PG,6-5,183,"April 26, 1992",us,1,University of Utah,Toronto,Raptors,Delon Wright,24,22,0,17.5,2,4.6,0.436,0.4,1.1,0.32,1.6,3.5,0.474,0.475,1.7,2.2,0.776,0.6,1.4,2,2.2,1.1,0.5,1,1.3,6.1
5,DeMarre Carroll,SF,6-8,215,"July 27, 1986",us,7,University of Missouri,Toronto,Raptors,DeMarre Carroll,30,67,67,26.6,3.2,7.8,0.405,1.6,4.5,0.344,1.6,3.3,0.489,0.505,1.3,1.7,0.759,0.9,3,3.9,1.1,1.1,0.4,0.7,2,9.1
6,Cory Joseph,SG,6-3,193,"August 20, 1991",ca,5,University of Texas at Austin,Toronto,Raptors,Cory Joseph,25,75,21,25.2,3.7,8.3,0.452,0.6,1.6,0.358,3.1,6.6,0.476,0.488,1.2,1.6,0.765,0.6,2.3,3,3.4,0.8,0.1,1.3,1.8,9.3
24,Norman Powell,SG,6-4,215,"May 25, 1993",us,1,"University of California, Los Angeles",Toronto,Raptors,Norman Powell,23,73,17,18.1,3,6.7,0.442,0.7,2.3,0.317,2.2,4.4,0.506,0.496,1.7,2.2,0.79,0.3,1.9,2.2,1.1,0.7,0.2,0.9,1.7,8.3
10,DeMar DeRozan,SG,6-7,221,"August 7, 1989",us,7,University of Southern California,Toronto,Raptors,DeMar DeRozan,27,70,70,35.4,9.7,20.9,0.467,0.5,1.7,0.275,9.3,19.1,0.484,0.478,7.3,8.7,0.84,1,4.3,5.3,3.9,1,0.2,2.4,1.8,27.3
42,Jakob Poeltl,C,7-0,248,"October 15, 1995",at,R,University of Utah,Toronto,Raptors,Jakob Poeltl,21,49,4,11.4,1.1,2.1,0.545,0,0,,1.1,2.1,0.545,0.545,0.6,1.1,0.538,1.5,1.5,3,0.2,0.3,0.3,0.6,2.1,2.8
43,Pascal Siakam,PF,6-9,230,"February 4, 1994",cm,R,New Mexico State University,Toronto,Raptors,Pascal Siakam,22,54,38,15.4,1.8,3.6,0.503,0,0.1,0.167,1.8,3.5,0.513,0.505,0.4,0.6,0.688,1.1,2.1,3.3,0.3,0.5,0.8,0.6,2,4.1
23,Fred VanVleet,PG,6-0,195,"February 25, 1994",us,R,Wichita State University,Toronto,Raptors,Fred VanVleet,22,34,0,8,1.1,3.1,0.356,0.3,0.8,0.393,0.8,2.2,0.342,0.409,0.5,0.6,0.85,0.1,1,1.1,0.8,0.5,0.1,0.4,1,3
25,Derrick Rose,PG,6-3,190,"October 4, 1988",us,7,University of Memphis,New York,Knicks,Derrick Rose,28,64,64,32.5,7.2,15.3,0.471,0.2,0.9,0.217,7,14.3,0.487,0.477,3.5,4,0.874,1,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18
7,Carmelo Anthony,SF,6-8,240,"May 29, 1984",us,13,Syracuse University,New York,Knicks,Carmelo Anthony,32,71,71,34.5,8.2,18.7,0.435,2.1,5.7,0.362,6.1,13,0.468,0.491,4.1,4.9,0.834,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.6,22.5
6,Kristaps Porzingis,PF,7-3,240,"August 2, 1995",lv,1,,New York,Knicks,Kristaps Porzingis,21,66,65,32.8,6.7,14.9,0.45,1.7,4.8,0.357,5,10.2,0.493,0.507,3,3.8,0.786,1.7,5.5,7.2,1.5,0.7,2,1.8,3.7,18.1
9,Kyle O'Quinn,PF,6-10,250,"March 26, 1990",us,4,Norfolk State University,New York,Knicks,Kyle O'Quinn,26,74,8,15.3,2.7,5.2,0.521,0,0.2,0.067,2.7,5,0.539,0.522,0.8,1,0.776,2,3.6,5.6,1.4,0.5,1.3,1,2.2,6.2
8,Justin Holiday,SG,6-6,185,"April 5, 1989",us,3,University of Washington,New York,Knicks,Justin Holiday,27,77,2,19.4,2.7,6.3,0.427,1.1,3.2,0.354,1.5,3.1,0.504,0.518,0.8,0.9,0.822,0.3,2.4,2.7,1.2,0.8,0.4,0.8,1.4,7.3
91,Mindaugas Kuzminskas,SF,6-9,215,"October 19, 1989",lt,R,,New York,Knicks,Mindaugas Kuzminskas,27,63,5,14.6,2.1,5.1,0.418,0.8,2.4,0.331,1.3,2.7,0.494,0.495,0.8,1,0.828,0.7,1.2,1.9,1,0.4,0.2,0.7,1.2,5.9
40,Marshall Plumlee,C,7-0,250,"July 14, 1992",us,R,Duke University,New York,Knicks,Marshall Plumlee,24,17,0,6.8,0.4,0.8,0.462,0,0,,0.4,0.8,0.462,0.462,0.5,0.9,0.533,0.8,1.1,1.8,0.5,0.2,0.2,0.5,0.8,1.2
13,Joakim Noah,C,6-11,230,"February 25, 1985",us,9,University of Florida,New York,Knicks,Joakim Noah,31,46,46,22.1,2.2,4.3,0.495,0,0,0,2.2,4.3,0.497,0.495,0.7,1.7,0.436,3.5,5.2,8.7,2.2,0.7,0.8,1.3,2.8,5
5,Courtney Lee,SG,6-5,200,"October 3, 1985",us,8,Western Kentucky University,New York,Knicks,Courtney Lee,31,72,69,32.2,4.1,9,0.454,1.4,3.5,0.408,2.7,5.6,0.483,0.532,1.1,1.3,0.879,0.7,2.7,3.4,2.3,1,0.3,0.9,1.8,10.7
42,Lance Thomas,PF,6-8,235,"April 24, 1988",us,5,Duke University,New York,Knicks,Lance Thomas,28,46,15,21,2.1,5.3,0.398,0.8,1.8,0.447,1.3,3.5,0.371,0.475,0.9,1.1,0.843,0.7,2.4,3.1,0.8,0.5,0.1,0.5,1.8,6
18,Sasha Vujacic,SG,6-7,195,"March 8, 1984",si,9,,New York,Knicks,Sasha Vujacic,32,37,4,8.7,0.9,2.8,0.314,0.5,1.6,0.293,0.4,1.3,0.34,0.395,0.4,0.5,0.789,0.2,1,1.2,1,0.3,0.1,0.4,0.8,2.6
2,Maurice Ndour,PF,6-9,200,"June 18, 1992",sn,R,Ohio University,New York,Knicks,Maurice Ndour,24,27,0,7.4,0.8,1.9,0.423,0,0.2,0.167,0.8,1.7,0.457,0.433,0.4,0.5,0.846,0.4,1,1.4,0.1,0.4,0.1,0.3,0.9,2.1
14,Willy Hernangomez,C,6-11,240,"May 27, 1994",es,R,,New York,Knicks,Willy Hernangomez,22,67,17,17.8,3.3,6.2,0.539,0,0.2,0.214,3.3,6,0.55,0.542,1.1,1.6,0.714,2.3,4.5,6.8,1.2,0.5,0.5,1.4,2,7.8
31,Ron Baker,SG,6-4,220,"March 30, 1993",us,R,Wichita State University,New York,Knicks,Ron Baker,23,47,8,14.8,1.4,3.7,0.364,0.4,1.5,0.29,0.9,2.3,0.411,0.42,0.5,0.8,0.658,0.2,1.5,1.7,1.7,0.7,0.1,1,1.3,3.7
4,Chasson Randle,PG,6-2,185,"February 5, 1993",us,R,Stanford University,New York,Knicks,Chasson Randle,23,14,0,11.5,1.5,3.8,0.396,0.6,1.6,0.348,0.9,2.1,0.433,0.472,1.4,1.6,0.909,0.4,1.1,1.5,1.9,0.3,0,0.6,1.6,5
47,Tiago Splitter,C,6-11,245,"January 1, 1985",br,6,,Philadelphia,76ers,Tiago Splitter,32,3,0,7.3,1.7,2.7,0.625,0.3,0.3,1,1.3,2.3,0.571,0.688,0.7,1,0.667,1.3,1,2.3,0.7,0,0.3,0.7,0.7,4.3
11,Nik Stauskas,SG,6-6,205,"October 7, 1993",ca,2,University of Michigan,Philadelphia,76ers,Nik Stauskas,23,75,27,27.4,3.1,7.8,0.403,1.7,4.4,0.373,1.5,3.4,0.441,0.509,1.4,1.8,0.8,0.3,2.5,2.8,2.3,0.6,0.4,1.6,1.8,9.4
21,Joel Embiid,C,7-0,250,"March 16, 1994",cm,R,University of Kansas,Philadelphia,76ers,Joel Embiid,22,31,31,25.4,6.5,13.8,0.466,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,7.9,0.783,2,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2
33,Robert Covington,SF,6-9,215,"December 14, 1990",us,3,Tennessee State University,Philadelphia,76ers,Robert Covington,26,67,67,31.6,4.4,10.9,0.399,2,6.1,0.333,2.3,4.8,0.484,0.492,2.1,2.6,0.822,1.4,5.1,6.5,1.5,1.9,1,2,3,12.9
8,Jahlil Okafor,C,6-11,275,"December 15, 1995",us,1,Duke University,Philadelphia,76ers,Jahlil Okafor,21,50,33,22.7,4.8,9.4,0.514,0,0,,4.8,9.4,0.514,0.514,2.1,3.2,0.671,1.6,3.2,4.8,1.2,0.4,1,1.8,2.4,11.8
23,Justin Anderson,SF,6-6,228,"November 19, 1993",us,1,University of Virginia,Philadelphia,76ers,Justin Anderson,23,19,3,19.4,2.8,6.2,0.453,0.7,2.6,0.26,2.1,3.5,0.597,0.509,0.7,0.9,0.824,1.4,3.1,4.4,1.4,0.4,0.3,1,1.9,7
22,Richaun Holmes,C,6-10,245,"October 15, 1993",us,1,Bowling Green State University,Philadelphia,76ers,Richaun Holmes,23,52,12,19.9,3.8,6.8,0.565,0.4,1.2,0.344,3.4,5.6,0.611,0.595,1.2,1.8,0.677,1.6,3.6,5.2,1,0.7,0.9,0.9,2.4,9.3
1,T.J. McConnell,PG,6-2,200,"March 25, 1992",us,1,University of Arizona,Philadelphia,76ers,T.J. McConnell,24,76,46,26,2.9,6.1,0.465,0.1,0.6,0.204,2.7,5.5,0.495,0.475,0.8,1,0.81,0.5,2.6,3.1,6.5,1.6,0.1,1.9,1.8,6.7
12,Gerald Henderson,SG,6-5,215,"December 9, 1987",us,7,Duke University,Philadelphia,76ers,Gerald Henderson,29,67,41,23.3,3.4,7.8,0.43,0.9,2.4,0.362,2.5,5.4,0.461,0.487,1.9,2.3,0.819,0.5,2.2,2.6,1.6,0.6,0.2,0.9,1.8,9.5
25,Ben Simmons,F,6-10,240,"July 20, 1996",au,R,Louisiana State University,Philadelphia,76ers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20,Timothe Luwawu-Cabarrot,SF,6-6,205,"May 9, 1995",fr,R,,Philadelphia,76ers,Timothe Luwawu-Cabarrot,21,64,14,16,1.8,4.7,0.393,0.6,2,0.302,1.2,2.6,0.462,0.458,1.3,1.6,0.833,0.4,1.7,2.1,1,0.3,0.2,1,2.2,5.6
14,Sergio Rodriguez,PG,6-3,176,"June 12, 1986",es,4,,Philadelphia,76ers,Sergio Rodriguez,30,68,30,22.3,3.1,7.9,0.392,1.4,3.7,0.365,1.7,4.2,0.415,0.478,0.3,0.4,0.667,0.3,2,2.3,5.1,0.7,0.1,1.9,1.4,7.8
9,Dario Saric,PF,6-10,223,"April 8, 1994",hr,R,,Philadelphia,76ers,Dario Saric,22,77,32,26.5,4.7,11.5,0.411,1.3,4.2,0.316,3.4,7.3,0.465,0.468,2.1,2.7,0.787,1.4,4.9,6.3,2.2,0.7,0.4,2.2,2,12.9
0,Jerryd Bayless,PG,6-3,200,"August 20, 1988",us,8,University of Arizona,Philadelphia,76ers,Jerryd Bayless,28,3,1,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3,9,0.333,0.375,3,3.3,0.9,1,3,4,4.3,0,0,3,1.3,11
36,Shawn Long,PF,6-9,255,"January 29, 1993",us,R,University of Louisiana at Lafayette,Philadelphia,76ers,Shawn Long,24,14,0,12.9,3.3,5.2,0.63,0.5,0.9,0.538,2.8,4.3,0.65,0.678,1.2,2.2,0.548,1.7,2.4,4.1,0.7,0.6,0.6,0.8,2.7,8.3
24,Rondae Hollis-Jefferson,SF,6-7,220,"January 3, 1995",us,1,University of Arizona,Brooklyn,Nets,Rondae Hollis-Jefferson,22,73,45,22.2,3,6.8,0.435,0.2,0.9,0.222,2.8,5.9,0.465,0.449,2.4,3.2,0.741,1.2,4.5,5.7,1.9,1,0.6,1.5,2.3,8.5
1,Chris McCullough,PF,6-11,200,"February 5, 1995",us,1,Syracuse University,Brooklyn,Nets,Chris McCullough,21,14,0,5.1,1.1,2.2,0.516,0.1,0.4,0.167,1.1,1.8,0.6,0.532,0.1,0.2,0.667,0.6,0.6,1.2,0.1,0.1,0.1,0.1,0.5,2.5
11,Brook Lopez,C,7-0,275,"April 1, 1988",us,8,Stanford University,Brooklyn,Nets,Brook Lopez,28,71,71,29.6,7.5,15.8,0.474,1.8,5.2,0.352,5.6,10.6,0.534,0.532,4,4.9,0.811,1.6,3.8,5.4,2.4,0.5,1.7,2.5,2.6,20.8
14,K.J. McDaniels,SF,6-6,205,"February 9, 1993",us,2,Clemson University,Brooklyn,Nets,K.J. McDaniels,23,16,0,13.4,2.1,4.4,0.479,0.4,1.6,0.269,1.7,2.8,0.6,0.528,0.9,1.1,0.833,0.5,1.8,2.3,0.4,0.7,0.3,0.8,1.4,5.6
6,Sean Kilpatrick,SG,6-4,210,"January 6, 1990",us,2,University of Cincinnati,Brooklyn,Nets,Sean Kilpatrick,27,69,24,25.2,4.4,10.6,0.412,1.5,4.4,0.336,2.9,6.2,0.467,0.482,2.9,3.5,0.842,0.3,3.7,4,2.2,0.7,0.1,2,1.7,13.1
7,Jeremy Lin,PG,6-3,200,"August 23, 1988",us,6,Harvard University,Brooklyn,Nets,Jeremy Lin,28,32,29,23.9,4.7,10.8,0.432,1.5,4.3,0.346,3.2,6.6,0.488,0.5,2.8,3.5,0.796,0.2,3.1,3.3,5.1,1.1,0.4,2.4,2,13.7
35,Trevor Booker,PF,6-8,228,"November 25, 1987",us,6,Clemson University,Brooklyn,Nets,Trevor Booker,29,69,43,24.8,4.3,8.3,0.517,0.4,1.1,0.325,3.9,7.2,0.547,0.539,1.1,1.6,0.67,2,6.1,8.1,2,1.1,0.4,1.8,2.2,10
44,Andrew Nicholson,PF,6-9,250,"December 8, 1989",ca,4,St. Bonaventure University,Brooklyn,Nets,Andrew Nicholson,27,7,0,10.1,1.6,3.6,0.44,0.3,1.1,0.25,1.3,2.4,0.529,0.48,0.3,0.3,1,0.4,2.6,3,0.4,0.4,0,0.4,1.3,3.7
15,Isaiah Whitehead,PG,6-4,213,"March 8, 1995",us,R,Seton Hall University,Brooklyn,Nets,Isaiah Whitehead,21,69,26,22.4,2.8,6.9,0.407,0.6,2,0.307,2.2,4.9,0.447,0.451,1.3,1.6,0.815,0.4,2.1,2.5,2.6,0.6,0.5,2,2.4,7.5
41,Justin Hamilton,C,7-0,260,"April 1, 1990",us,2,Louisiana State University,Brooklyn,Nets,Justin Hamilton,26,59,6,18.6,2.7,5.8,0.461,0.9,2.8,0.31,1.8,3,0.606,0.536,0.6,0.8,0.75,1.1,3,4.2,0.8,0.4,0.7,0.7,1.4,6.8
2,Randy Foye,SG,6-4,213,"September 24, 1983",us,10,Villanova University,Brooklyn,Nets,Randy Foye,33,64,35,18.8,1.8,4.8,0.378,1,2.9,0.349,0.8,1.8,0.424,0.485,0.7,0.9,0.836,0.1,2.2,2.3,2,0.5,0.1,1.2,1.5,5.3
22,Caris LeVert,SF,6-7,203,"August 25, 1994",us,R,University of Michigan,Brooklyn,Nets,Caris LeVert,22,52,21,21.4,2.8,6.3,0.443,1,3.1,0.314,1.8,3.2,0.565,0.52,1.2,1.6,0.723,0.5,2.8,3.2,1.9,0.9,0.1,1,1.6,7.7
12,Joe Harris,SG,6-6,219,"September 7, 1991",us,2,University of Virginia,Brooklyn,Nets,Joe Harris,25,52,11,21.9,3,7,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.543,0.7,0.9,0.714,0.3,2.5,2.8,1,0.6,0.2,1.1,2.3,8.2
8,Spencer Dinwiddie,PG,6-6,200,"April 6, 1993",us,2,University of Colorado,Brooklyn,Nets,Spencer Dinwiddie,23,54,17,22.4,2.2,5.1,0.433,0.6,1.6,0.375,1.6,3.5,0.46,0.493,2.1,2.6,0.776,0.4,2.3,2.7,3.1,0.7,0.4,1.1,2,7.1
13,Quincy Acy,PF,6-7,240,"October 6, 1990",us,4,Baylor University,Brooklyn,Nets,Quincy Acy,26,29,1,16.1,2.1,4.8,0.439,1.2,2.6,0.453,0.9,2.2,0.422,0.561,1.5,2,0.754,0.6,2.9,3.4,0.6,0.4,0.5,0.6,1.8,6.9
10,Archie Goodwin,SG,6-5,200,"August 17, 1994",us,3,University of Kentucky,Brooklyn,Nets,Archie Goodwin,22,7,0,12.4,2.3,4,0.571,0.3,0.9,0.333,2,3.1,0.636,0.607,1.7,2.3,0.75,0.4,1.1,1.6,1.9,0.1,0.4,0.7,0.6,6.6
33,Trey Burke,PG,6-1,191,"November 12, 1992",us,3,University of Michigan,Washington,Wizards,Trey Burke,24,55,0,12.1,1.9,4.4,0.44,0.5,1.1,0.413,1.5,3.2,0.449,0.494,0.4,0.5,0.741,0.1,0.7,0.8,1.7,0.2,0.1,0.8,1,4.7
13,Marcin Gortat,C,6-11,240,"February 17, 1984",pl,9,,Washington,Wizards,Marcin Gortat,32,77,77,31.5,4.7,8.3,0.571,0,0,0,4.7,8.2,0.573,0.571,1.3,2,0.649,3,7.6,10.6,1.4,0.5,0.8,1.5,2.7,10.7
5,Markieff Morris,PF,6-10,245,"September 2, 1989",us,5,University of Kansas,Washington,Wizards,Markieff Morris,27,73,73,31.4,5.2,11.7,0.449,0.9,2.5,0.346,4.4,9.1,0.477,0.486,2.5,2.9,0.837,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.4,13.8
2,John Wall,PG,6-4,195,"September 6, 1990",us,6,University of Kentucky,Washington,Wizards,John Wall,26,75,75,36.4,8.3,18.5,0.451,1.1,3.5,0.312,7.3,15,0.483,0.48,5.5,6.8,0.807,0.8,3.5,4.2,10.7,2,0.6,4.1,1.9,23.2
22,Otto Porter,SF,6-8,198,"June 3, 1993",us,3,Georgetown University,Washington,Wizards,Otto Porter,23,77,77,33,5.3,10.1,0.519,1.9,4.3,0.44,3.4,5.8,0.578,0.613,1.2,1.5,0.821,1.4,5,6.4,1.5,1.5,0.5,0.6,2.5,13.6
44,Bojan Bogdanovic,SF,6-8,216,"April 18, 1989",ba,2,,Washington,Wizards,Bojan Bogdanovic,27,55,54,26.9,4.9,11.1,0.44,1.8,5,0.357,3.1,6.1,0.509,0.521,2.7,3,0.874,0.4,3.2,3.6,1.6,0.4,0.1,1.7,1.8,14.2
12,Kelly Oubre Jr.,SF,6-7,205,"December 9, 1995",us,1,University of Kansas,Washington,Wizards,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28,Ian Mahinmi,C,6-11,250,"November 5, 1986",fr,8,,Washington,Wizards,Ian Mahinmi,30,27,0,17.5,2.1,3.6,0.577,0,0,,2.1,3.6,0.577,0.577,1.4,2.5,0.582,1.5,3,4.6,0.6,1.1,0.7,1.1,2.8,5.6
14,Jason Smith,C,7-0,245,"March 2, 1986",us,8,Colorado State University,Washington,Wizards,Jason Smith,30,69,2,14.2,2.3,4.4,0.531,0.4,0.9,0.492,1.9,3.5,0.541,0.58,0.5,0.7,0.681,0.9,2.6,3.5,0.4,0.3,0.7,0.7,2.3,5.6
32,Daniel Ochefu,C,6-11,245,"December 15, 1993",us,R,Villanova University,Washington,Wizards,Daniel Ochefu,23,18,0,3.2,0.4,1.2,0.381,0,0,,0.4,1.2,0.381,0.381,0,0.1,0,0.2,0.9,1.1,0.1,0.1,0,0.2,0.9,0.9
31,Tomas Satoransky,SG,6-7,210,"October 30, 1991",cz,R,,Washington,Wizards,Tomas Satoransky,25,54,2,12.3,1,2.4,0.42,0.1,0.6,0.25,0.9,1.8,0.475,0.45,0.4,0.6,0.677,0.4,1,1.4,1.5,0.4,0.1,0.6,1.1,2.6
3,Bradley Beal,SG,6-5,207,"June 28, 1993",us,4,University of Florida,Washington,Wizards,Bradley Beal,23,73,73,34.8,8.3,17.2,0.481,2.9,7.2,0.407,5.3,10,0.534,0.566,3.6,4.4,0.817,0.7,2.4,3.1,3.5,1.1,0.2,2,2.2,23.1
9,Sheldon McClellan,SG,6-5,200,"December 21, 1992",us,R,University of Miami,Washington,Wizards,Sheldon McClellan,24,29,3,8.7,0.8,2.2,0.375,0.2,0.9,0.231,0.6,1.3,0.474,0.422,0.6,0.7,0.857,0.1,0.9,1,0.5,0.3,0.1,0.1,0.6,2.5
7,Brandon Jennings,PG,6-1,170,"September 23, 1989",us,7,,Washington,Wizards,Brandon Jennings,27,58,11,24.6,2.8,7.4,0.38,1.2,3.4,0.34,1.6,3.9,0.415,0.459,1.8,2.3,0.756,0.4,2.2,2.6,4.9,0.9,0.1,1.8,1.4,8.6
